name,language code,ssml gender,hertz rate
ms-MY-Wavenet-B,ms-MY,1,24000
ms-MY-Wavenet-C,ms-MY,2,24000
ms-MY-Wavenet-D,ms-MY,1,24000
pa-IN-Wavenet-A,pa-IN,2,24000
pa-IN-Wavenet-B,pa-IN,1,24000
pa-IN-Wavenet-C,pa-IN,2,24000
pa-IN-Wavenet-D,pa-IN,1,24000
cs-CZ-Wavenet-A,cs-CZ,2,24000
de-DE-Wavenet-F,de-DE,2,24000
de-DE-Wavenet-A,de-DE,2,24000
de-DE-Wavenet-B,de-DE,1,24000
de-DE-Wavenet-C,de-DE,2,24000
de-DE-Wavenet-D,de-DE,1,24000
de-DE-Wavenet-E,de-DE,1,24000
en-AU-Wavenet-A,en-AU,2,24000
en-AU-Wavenet-B,en-AU,1,24000
en-AU-Wavenet-C,en-AU,2,24000
en-AU-Wavenet-D,en-AU,1,24000
en-IN-Wavenet-D,en-IN,2,24000
en-IN-Wavenet-A,en-IN,2,24000
en-IN-Wavenet-B,en-IN,1,24000
en-IN-Wavenet-C,en-IN,1,24000
es-US-Wavenet-A,es-US,2,24000
es-US-Wavenet-B,es-US,1,24000
es-US-Wavenet-C,es-US,1,24000
fr-FR-Wavenet-E,fr-FR,2,24000
fr-FR-Wavenet-A,fr-FR,2,24000
fr-FR-Wavenet-B,fr-FR,1,24000
fr-FR-Wavenet-C,fr-FR,2,24000
fr-FR-Wavenet-D,fr-FR,1,24000
hi-IN-Wavenet-D,hi-IN,2,24000
hi-IN-Wavenet-A,hi-IN,2,24000
hi-IN-Wavenet-B,hi-IN,1,24000
hi-IN-Wavenet-C,hi-IN,1,24000
id-ID-Wavenet-D,id-ID,2,24000
id-ID-Wavenet-A,id-ID,2,24000
id-ID-Wavenet-B,id-ID,1,24000
id-ID-Wavenet-C,id-ID,1,24000
it-IT-Wavenet-A,it-IT,2,24000
it-IT-Wavenet-B,it-IT,2,24000
it-IT-Wavenet-C,it-IT,1,24000
it-IT-Wavenet-D,it-IT,1,24000
ko-KR-Wavenet-A,ko-KR,2,24000
ko-KR-Wavenet-B,ko-KR,2,24000
ko-KR-Wavenet-C,ko-KR,1,24000
ko-KR-Wavenet-D,ko-KR,1,24000
ru-RU-Wavenet-E,ru-RU,2,24000
ru-RU-Wavenet-A,ru-RU,2,24000
ru-RU-Wavenet-B,ru-RU,1,24000
ru-RU-Wavenet-C,ru-RU,2,24000
ru-RU-Wavenet-D,ru-RU,1,24000
uk-UA-Wavenet-A,uk-UA,2,24000
cmn-CN-Wavenet-A,cmn-CN,2,24000
cmn-CN-Wavenet-B,cmn-CN,1,24000
cmn-CN-Wavenet-C,cmn-CN,1,24000
cmn-CN-Wavenet-D,cmn-CN,2,24000
cmn-TW-Wavenet-A,cmn-TW,2,24000
cmn-TW-Wavenet-B,cmn-TW,1,24000
cmn-TW-Wavenet-C,cmn-TW,1,24000
da-DK-Wavenet-C,da-DK,1,24000
da-DK-Wavenet-D,da-DK,2,24000
da-DK-Wavenet-E,da-DK,2,24000
da-DK-Wavenet-A,da-DK,2,24000
el-GR-Wavenet-A,el-GR,2,24000
fil-PH-Wavenet-A,fil-PH,2,24000
fil-PH-Wavenet-B,fil-PH,2,24000
fil-PH-Wavenet-C,fil-PH,1,24000
fil-PH-Wavenet-D,fil-PH,1,24000
hu-HU-Wavenet-A,hu-HU,2,24000
nb-NO-Wavenet-A,nb-NO,2,24000
nb-NO-Wavenet-B,nb-NO,1,24000
nb-NO-Wavenet-C,nb-NO,2,24000
nb-NO-Wavenet-D,nb-NO,1,24000
nb-no-Wavenet-E,nb-NO,2,24000
nl-BE-Wavenet-A,nl-BE,2,24000
nl-BE-Wavenet-B,nl-BE,1,24000
nl-NL-Wavenet-B,nl-NL,1,24000
nl-NL-Wavenet-C,nl-NL,1,24000
nl-NL-Wavenet-D,nl-NL,2,24000
nl-NL-Wavenet-A,nl-NL,2,24000
nl-NL-Wavenet-E,nl-NL,2,24000
pt-PT-Wavenet-A,pt-PT,2,24000
pt-PT-Wavenet-B,pt-PT,1,24000
pt-PT-Wavenet-C,pt-PT,1,24000
pt-PT-Wavenet-D,pt-PT,2,24000
sk-SK-Wavenet-A,sk-SK,2,24000
vi-VN-Wavenet-A,vi-VN,2,24000
vi-VN-Wavenet-B,vi-VN,1,24000
vi-VN-Wavenet-C,vi-VN,2,24000
vi-VN-Wavenet-D,vi-VN,1,24000
pl-PL-Wavenet-A,pl-PL,2,24000
pl-PL-Wavenet-B,pl-PL,1,24000
pl-PL-Wavenet-C,pl-PL,1,24000
pl-PL-Wavenet-E,pl-PL,2,24000
pl-PL-Wavenet-D,pl-PL,2,24000
pt-BR-Wavenet-A,pt-BR,2,24000
pt-BR-Wavenet-B,pt-BR,1,24000
ro-RO-Wavenet-A,ro-RO,2,24000
da-DK-Standard-A,da-DK,2,22050
da-DK-Standard-C,da-DK,1,24000
da-DK-Standard-D,da-DK,2,24000
da-DK-Standard-E,da-DK,2,24000
fi-FI-Standard-A,fi-FI,2,24000
is-is-Standard-A,is-IS,2,24000
sv-SE-Standard-A,sv-SE,2,22050
nb-NO-Standard-A,nb-NO,2,24000
nb-NO-Standard-B,nb-NO,1,24000
nb-NO-Standard-C,nb-NO,2,24000
nb-NO-Standard-D,nb-NO,1,24000
nb-no-Standard-E,nb-NO,2,24000
nb-no-Standard-E,nb-NO,2,24000
pt-PT-Standard-A,pt-PT,2,24000
pt-PT-Standard-B,pt-PT,1,24000
pt-PT-Standard-C,pt-PT,1,24000
pt-PT-Standard-D,pt-PT,2,24000
fr-FR-Standard-A,fr-FR,2,24000
fr-FR-Standard-B,fr-FR,1,24000
fr-FR-Standard-C,fr-FR,2,24000
fr-FR-Standard-D,fr-FR,1,24000
de-DE-Standard-E,de-DE,1,24000
de-DE-Standard-A,de-DE,2,24000
de-DE-Standard-B,de-DE,1,24000
de-DE-Standard-C,de-DE,2,24000
de-DE-Standard-D,de-DE,1,24000
de-DE-Standard-F,de-DE,2,24000
fr-CA-Standard-A,fr-CA,2,24000
fr-CA-Standard-B,fr-CA,1,24000
fr-CA-Standard-C,fr-CA,2,24000
fr-CA-Standard-D,fr-CA,1,24000
it-IT-Standard-B,it-IT,2,24000
it-IT-Standard-C,it-IT,1,24000
it-IT-Standard-D,it-IT,1,24000
en-AU-Standard-A,en-AU,2,24000
en-AU-Standard-B,en-AU,1,24000
en-AU-Standard-C,en-AU,2,24000
en-AU-Standard-D,en-AU,1,24000
en-GB-Standard-A,en-GB,2,24000
en-GB-Standard-B,en-GB,1,24000
en-GB-Standard-C,en-GB,2,24000
en-GB-Standard-D,en-GB,1,24000
en-GB-Standard-F,en-GB,2,24000
th-TH-Standard-A,th-TH,2,22050
bn-IN-Standard-A,bn-IN,2,24000
bn-IN-Standard-B,bn-IN,1,24000
en-IN-Standard-D,en-IN,2,24000
en-IN-Standard-A,en-IN,2,24000
en-IN-Standard-B,en-IN,1,24000
en-IN-Standard-C,en-IN,1,24000
gu-IN-Standard-A,gu-IN,2,24000
gu-IN-Standard-B,gu-IN,1,24000
hi-IN-Standard-D,hi-IN,2,24000
hi-IN-Standard-A,hi-IN,2,24000
hi-IN-Standard-B,hi-IN,1,24000
hi-IN-Standard-C,hi-IN,1,24000
kn-IN-Standard-A,kn-IN,2,24000
kn-IN-Standard-B,kn-IN,1,24000
ml-IN-Standard-A,ml-IN,2,24000
ml-IN-Standard-B,ml-IN,1,24000
ta-IN-Standard-A,ta-IN,2,24000
ta-IN-Standard-B,ta-IN,1,24000
te-IN-Standard-A,te-IN,2,24000
te-IN-Standard-B,te-IN,1,24000
pa-IN-Standard-A,pa-IN,2,24000
pa-IN-Standard-B,pa-IN,1,24000
pa-IN-Standard-C,pa-IN,2,24000
pa-IN-Standard-D,pa-IN,1,24000
cmn-CN-Standard-C,cmn-CN,1,24000
cmn-CN-Standard-B,cmn-CN,1,24000
cmn-CN-Standard-A,cmn-CN,2,24000
cmn-CN-Standard-D,cmn-CN,2,24000
ja-JP-Standard-A,ja-JP,2,24000
ja-JP-Standard-B,ja-JP,2,24000
ja-JP-Standard-C,ja-JP,1,24000
ja-JP-Standard-D,ja-JP,1,24000
cmn-TW-Standard-A,cmn-TW,2,24000
cmn-TW-Standard-B,cmn-TW,1,24000
cmn-TW-Standard-C,cmn-TW,1,24000
ko-KR-Standard-B,ko-KR,2,24000
ko-KR-Standard-C,ko-KR,1,24000
ko-KR-Standard-D,ko-KR,1,24000
ko-KR-Standard-A,ko-KR,2,24000
vi-VN-Standard-A,vi-VN,2,24000
vi-VN-Standard-B,vi-VN,1,24000
vi-VN-Standard-C,vi-VN,2,24000
vi-VN-Standard-D,vi-VN,1,24000
ar-XA-Standard-A,ar-XA,2,24000
ar-XA-Standard-B,ar-XA,1,24000
ar-XA-Standard-C,ar-XA,1,24000
ar-XA-Standard-D,ar-XA,2,24000
fr-FR-Standard-E,fr-FR,2,24000
it-IT-Standard-A,it-IT,2,24000
ru-RU-Standard-E,ru-RU,2,24000
ru-RU-Standard-A,ru-RU,2,24000
ru-RU-Standard-B,ru-RU,1,24000
ru-RU-Standard-C,ru-RU,2,24000
ru-RU-Standard-D,ru-RU,1,24000
af-ZA-Standard-A,af-ZA,2,24000
bg-bg-Standard-A,bg-BG,2,24000
hu-HU-Standard-A,hu-HU,2,24000
lv-lv-Standard-A,lv-LV,1,24000
pl-PL-Standard-E,pl-PL,2,22050
ro-RO-Standard-A,ro-RO,2,24000
sk-SK-Standard-A,sk-SK,2,24000
sr-rs-Standard-A,sr-RS,2,24000
uk-UA-Standard-A,uk-UA,2,24000
pl-PL-Standard-A,pl-PL,2,24000
pl-PL-Standard-B,pl-PL,1,24000
pl-PL-Standard-C,pl-PL,1,24000
pl-PL-Standard-D,pl-PL,2,24000
tr-TR-Standard-B,tr-TR,1,24000
tr-TR-Standard-C,tr-TR,2,24000
tr-TR-Standard-D,tr-TR,2,24000
tr-TR-Standard-E,tr-TR,1,24000
tr-TR-Standard-A,tr-TR,2,24000
cs-CZ-Standard-A,cs-CZ,2,24000
el-GR-Standard-A,el-GR,2,24000
pt-BR-Standard-A,pt-BR,2,22050
pt-BR-Standard-B,pt-BR,1,24000
es-US-Standard-A,es-US,2,24000
es-US-Standard-B,es-US,1,24000
es-US-Standard-C,es-US,1,24000
ms-MY-Standard-A,ms-MY,2,24000
ms-MY-Standard-B,ms-MY,1,24000
ms-MY-Standard-C,ms-MY,2,24000
ms-MY-Standard-D,ms-MY,1,24000
id-ID-Standard-A,id-ID,2,24000
id-ID-Standard-B,id-ID,1,24000
id-ID-Standard-C,id-ID,1,24000
id-ID-Standard-D,id-ID,2,24000
nl-BE-Standard-A,nl-BE,2,24000
nl-BE-Standard-B,nl-BE,1,24000
nl-NL-Standard-B,nl-NL,1,24000
nl-NL-Standard-C,nl-NL,1,24000
nl-NL-Standard-D,nl-NL,2,24000
nl-NL-Standard-E,nl-NL,2,24000
nl-NL-Standard-A,nl-NL,2,24000
fil-PH-Standard-B,fil-PH,2,24000
fil-PH-Standard-C,fil-PH,1,24000
fil-PH-Standard-D,fil-PH,1,24000
fil-PH-Standard-A,fil-PH,2,24000
yue-HK-Standard-A,yue-HK,2,24000
yue-HK-Standard-B,yue-HK,1,24000
yue-HK-Standard-C,yue-HK,2,24000
yue-HK-Standard-D,yue-HK,1,24000
en-US-Standard-A,en-US,1,24000
en-US-Standard-B,en-US,1,24000
en-US-Standard-C,en-US,2,24000
en-US-Standard-D,en-US,1,24000
en-US-Standard-E,en-US,2,24000
en-US-Standard-F,en-US,2,24000
en-US-Standard-G,en-US,2,24000
en-US-Standard-H,en-US,2,24000
en-US-Standard-I,en-US,1,24000
en-US-Standard-J,en-US,1,24000
ca-es-Standard-A,ca-ES,2,24000
es-ES-Standard-C,es-ES,2,24000
es-ES-Standard-D,es-ES,2,24000
es-ES-Standard-B,es-ES,1,24000
es-ES-Standard-A,es-ES,2,24000
